measurement_time	Y	X	Z
6716617843228683264	0.731415	0.509155	0.134796
6716617864746469376	0.733765	0.508942	0.134552
6716617886375924736	0.731537	0.508148	0.134613
6716617909375474688	0.731659	0.509491	0.13446
6716617930712871936	0.732452	0.511108	0.134521
6716617952097514496	0.732819	0.510895	0.134491
6716617973387667456	0.731873	0.509338	0.134613
6716617994823848960	0.729889	0.505219	0.134857
6716618016302981120	0.73233	0.509247	0.134674
6716618037683328000	0.734375	0.509888	0.134827
6716618058956301312	0.735565	0.513428	0.134613
6716618080512741376	0.735107	0.510559	0.134613
6716618101772829696	0.732666	0.509674	0.134613
6716618123264845824	0.732269	0.506226	0.134674
6716618144524934144	0.733246	0.509338	0.134491
6716618165939641344	0.733093	0.510773	0.134521
6716618187375822848	0.734314	0.511322	0.134491
6716618209207141376	0.736298	0.512115	0.134521
6716618232172332032	0.733185	0.511047	0.134644
6716618255360860160	0.731598	0.508087	0.13443
6716618278231561216	0.731506	0.508789	0.134644
6716618299852426240	0.732117	0.50946	0.134583
6716618321056679936	0.731964	0.511169	0.134766
6716618342471387136	0.733582	0.509644	0.134644
6716618364203921408	0.734924	0.511414	0.134583
6716618387014493184	0.735199	0.512909	0.134552
6716618408407725056	0.734283	0.510651	0.134583
6716618430054360064	0.733612	0.512726	0.134521
6716618451207073792	0.732117	0.510071	0.134521
6716618472797874176	0.733765	0.509216	0.134613
6716618494865416192	0.732666	0.510803	0.134552
6716618516559296512	0.734222	0.513	0.134552
6716618537707715584	0.734955	0.513245	0.134521
6716618559229796352	0.732361	0.509644	0.134491
6716618580532834304	0.732422	0.510223	0.134674
6716618602673390592	0.734283	0.509552	0.134491
6716618624126752768	0.732819	0.50885	0.134552
6716618645747617792	0.732788	0.507385	0.134735
6716618666887446528	0.735901	0.510925	0.134674
6716618688280678400	0.73407	0.509064	0.134613
6716618709691090944	0.733124	0.510742	0.134491
6716618731273302016	0.734222	0.510681	0.134521
6716618752928526336	0.732941	0.509491	0.134674
6716618775700443136	0.728577	0.506775	0.134613
6716618797291243520	0.732788	0.51004	0.134644
6716618818886339584	0.732635	0.510376	0.134583
6716618841894478848	0.736145	0.512939	0.134613
6716618863064373248	0.735138	0.512787	0.134369
6716618884745367552	0.732666	0.510651	0.134583
6716618907985435648	0.732361	0.507996	0.134644
6716618931040820224	0.732239	0.510956	0.134674
6716618952515656704	0.732727	0.509766	0.134583
6716618975592516608	0.733368	0.510406	0.134583
6716618996822539264	0.733795	0.511261	0.134735
6716619018232951808	0.732178	0.51123	0.134583
6716619039639068672	0.732971	0.510925	0.13443
6716619061500451840	0.733643	0.511261	0.134583
6716619084319612928	0.733948	0.512482	0.134521
6716619105605471232	0.733673	0.511414	0.13446
6716619127011588096	0.731079	0.509857	0.134491
6716619148422000640	0.731384	0.507965	0.134583
6716619169948376064	0.731567	0.508392	0.134583
6716619191375968256	0.731567	0.510406	0.134613
6716619212605990912	0.734161	0.513214	0.134491
6716619234201086976	0.731384	0.509308	0.134613
6716619255521304576	0.732208	0.511383	0.134644
6716619276983256064	0.731415	0.50827	0.134705
6716619298243344384	0.733002	0.510651	0.134583
6716619320104727552	0.733429	0.512451	0.134369
6716619342803630080	0.731445	0.509918	0.134399
6716619364355775488	0.730164	0.508545	0.134521
6716619385508490240	0.730164	0.509155	0.134491
6716619407163714560	0.731689	0.510681	0.134644
6716619428488227840	0.732239	0.509521	0.134491
6716619449945884672	0.733734	0.513336	0.134338
6716619471137252352	0.731537	0.50943	0.134521
6716619492723758080	0.732147	0.50647	0.134613
6716619514061156352	0.731628	0.509399	0.134521
6716619535553172480	0.732483	0.507263	0.134583
6716619556813260800	0.732971	0.510529	0.134644
6716619578674643968	0.732697	0.513794	0.134552
6716619601386431488	0.730835	0.509399	0.134521
6716619622805433344	0.730713	0.509186	0.134583
6716619644275974144	0.731171	0.510986	0.134644
6716619665570422784	0.73349	0.513519	0.134369
6716619686916409344	0.730408	0.51001	0.134521
6716619708391245824	0.731354	0.511353	0.134399
6716619729659924480	0.731201	0.508545	0.13446
6716619751169120256	0.730865	0.508942	0.134613
6716619772665432064	0.72995	0.505341	0.134644
6716619793955585024	0.73175	0.511963	0.134583
6716619815224262656	0.733124	0.511017	0.13446
6716619837029812224	0.732605	0.507141	0.134735
6716619859814612992	0.731567	0.511139	0.134552
6716619881259384832	0.731171	0.50705	0.134735
6716619902845890560	0.731689	0.509644	0.134644
6716619924273482752	0.731537	0.510681	0.134521
6716619945589404672	0.730377	0.50769	0.134857
6716619967566752768	0.731323	0.510651	0.134583
6716619990553417728	0.73172	0.506409	0.134674
6716620012023959552	0.733185	0.510986	0.134552
6716620033515975680	0.73175	0.509766	0.134644
6716620054947862528	0.730164	0.51001	0.134552
6716620076246604800	0.734558	0.513641	0.134399
6716620097571118080	0.733917	0.513641	0.134399
6716620118899924992	0.732635	0.51001	0.134644
6716620140417711104	0.732758	0.513336	0.134491
6716620161767994368	0.731506	0.510834	0.134552
6716620183234240512	0.731171	0.507812	0.134644
6716620204545868800	0.731812	0.507599	0.134644
6716620226171028480	0.732971	0.510132	0.134735
6716620247499836416	0.733795	0.512817	0.13443
6716620268772809728	0.731384	0.509583	0.134552
6716620290247646208	0.732269	0.510406	0.134491
6716620311791201280	0.731598	0.510162	0.134521
6716620333012634624	0.731232	0.509155	0.13443
6716620354826773504	0.731873	0.51001	0.13446
6716620377615869952	0.731934	0.510437	0.134491
6716620399021987840	0.733978	0.51178	0.13446
6716620420604197888	0.733734	0.510864	0.13446
6716620441898645504	0.733459	0.510925	0.134521
6716620463205979136	0.732849	0.50943	0.134644
6716620484655045632	0.731323	0.508911	0.134766
6716620505988148224	0.731598	0.510162	0.134613
6716620527484459008	0.731232	0.509613	0.134674
6716620548808972288	0.731567	0.507812	0.134705
6716620570580161536	0.732819	0.509918	0.134583
6716620593360667648	0.730865	0.506836	0.134735
6716620614809734144	0.731415	0.508331	0.134521
6716620636383354880	0.729889	0.50824	0.134491
6716620657806652416	0.731262	0.508423	0.134735
6716620678998020096	0.731354	0.510834	0.134583
6716620700812158976	0.733246	0.50943	0.13446
6716620723618436096	0.731537	0.510071	0.134583
6716620745041732608	0.732178	0.51059	0.13446
6716620766370540544	0.72876	0.509216	0.134644
6716620787819607040	0.732574	0.509552	0.134674
6716620809397522432	0.732239	0.510956	0.134644
6716620830683380736	0.731354	0.509644	0.134766
6716620851964943360	0.733612	0.513641	0.13446
6716620873422600192	0.731689	0.511017	0.134644
6716620894794357760	0.733124	0.509766	0.13446
6716620916376567808	0.730164	0.508179	0.134552
6716620937864289280	0.729156	0.507721	0.134613
6716620959012708352	0.731781	0.509796	0.134583
6716620980436004864	0.73291	0.510101	0.134613
6716621001936611328	0.731903	0.513458	0.134399
6716621023252534272	0.732025	0.511536	0.134399
6716621044761730048	0.73172	0.510895	0.13446
6716621066210797568	0.732483	0.509766	0.134552
6716621087793007616	0.733063	0.509033	0.134674
6716621110616464384	0.729431	0.506378	0.134644
6716621132009696256	0.731476	0.505951	0.134735
6716621153617676288	0.733643	0.510742	0.134583
6716621174860584960	0.733734	0.508057	0.134827
6716621196309651456	0.734589	0.511414	0.134613
6716621218845344768	0.729828	0.508514	0.134766
6716621240041008128	0.731293	0.50824	0.134583
6716621261502959616	0.73291	0.508728	0.134552
6716621282823178240	0.73291	0.511017	0.134552
6716621304383913984	0.733307	0.512512	0.134308
6716621325721311232	0.734741	0.511261	0.134491
6716621346985694208	0.731659	0.511475	0.13446
6716621368469121024	0.733887	0.508636	0.134705
6716621389789338624	0.72876	0.50705	0.134705
6716621411165390848	0.732269	0.512054	0.134552
6716621433477745664	0.733521	0.511292	0.134644
6716621454750718976	0.732361	0.510315	0.134613
6716621476315749376	0.729645	0.509186	0.134766
6716621497502823424	0.729767	0.509796	0.134613
6716621519222472704	0.734467	0.513519	0.13446
6716621542715943936	0.732941	0.513153	0.134521
6716621563997506560	0.731445	0.509491	0.134338
6716621585304839168	0.730652	0.509369	0.134705
6716621606814035968	0.731567	0.509735	0.13443
6716621628147138560	0.734772	0.513428	0.134491
6716621649579025408	0.733582	0.510559	0.134521
6716621671083926528	0.732239	0.509644	0.134521
6716621692361194496	0.734406	0.513123	0.134399
6716621713797376000	0.735291	0.513153	0.134552
6716621735310867456	0.734222	0.510223	0.134705
6716621756626790400	0.731323	0.510162	0.134552
6716621778668562432	0.734589	0.51062	0.134674
6716621801341694976	0.731476	0.510315	0.134613
6716621822911020032	0.732178	0.510742	0.134491
6716621844098094080	0.729034	0.507782	0.134766
6716621865667420160	0.731689	0.511139	0.134613
6716621887064946688	0.732788	0.510345	0.134521
6716621908449589248	0.732452	0.51178	0.13443
6716621929928720384	0.733307	0.510315	0.13446
6716621951154448384	0.731049	0.508484	0.134613
6716621972504731648	0.730713	0.509277	0.134644
6716621993945207808	0.732758	0.510132	0.134766
6716622015557483520	0.733063	0.513184	0.134491
6716622038672997376	0.732361	0.511658	0.13443
6716622059825711104	0.730316	0.50589	0.134735
6716622081450871808	0.732971	0.510101	0.134583
6716622103183406080	0.731323	0.506042	0.134552
6716622125882308608	0.732117	0.510742	0.134796
6716622147198230528	0.734985	0.513123	0.134521
6716622168685952000	0.732574	0.510223	0.134338
6716622190165084160	0.730438	0.510498	0.134552
6716622211730114560	0.732269	0.513885	0.134491
6716622233200656384	0.733856	0.513885	0.13443
6716622254688377856	0.731262	0.51004	0.13443
6716622276000005120	0.729889	0.506134	0.134766
6716622297504906240	0.732422	0.51004	0.134644
6716622318996922368	0.731079	0.506256	0.134705
6716622340299960320	0.731171	0.511475	0.134521
